age,income,tenure,education,marital_status,segment,credit_limit,balance,utilization,transactions_3m,avg_spend,digital_usage,web_visits_30d,preferred_channel,last_contact_days,last_contact_channel,prev_response,offers_received_6m,delinq_12m,complaints_12m,risk_segment,city,campaign_type,target
25,10410.16,18,Tecnico,Casado,Masivo,19399.56,4806.6,0.248,21,408.52,0.673,5.0,App,248,Email,0,2,0,0,Bajo,Trujillo,Cero Interés,0
62,13757.55,3,Tecnico,Divorciado,Masivo,5952.48,5358.46,0.9,8,10.0,0.943,5.0,App,58,SMS,1,2,0,0,Alto,Arequipa,Cero Interés,0
56,20660.95,6,Postgrado,Casado,Preferente,8915.62,7231.82,0.811,53,442.73,0.262,11.0,Web,39,Call,1,1,0,1,Bajo,Lima,Cashback,1
44,13171.89,19,Tecnico,Soltero,Preferente,8737.02,6551.03,0.75,60,395.92,0.244,8.0,Sucursal,338,App,0,6,0,0,Bajo,Lima,Millas,0
44,15690.6,20,Secundaria,Casado,Preferente,18337.35,3109.61,0.17,27,313.81,0.484,6.0,Call,260,Email,0,2,0,0,Alto,Lima,Millas,1
67,22486.7,4,Secundaria,Soltero,Masivo,13516.64,1099.07,0.081,2,213.29,0.703,4.0,Sucursal,47,SMS,0,2,0,0,Bajo,Lima,Cashback,0
25,15147.85,22,Secundaria,Divorciado,Preferente,7225.56,1472.23,0.204,46,378.4,0.314,9.0,Call,354,Call,0,1,3,0,Bajo,Lima,Cero Interés,0
58,20191.76,21,Universitario,Divorciado,Preferente,20001.38,8230.79,0.412,42,476.83,0.509,11.0,App,202,Call,0,0,0,0,Medio,Arequipa,Millas,0
31,39989.18,21,Tecnico,Soltero,Premium,18460.09,14082.04,0.763,21,218.3,0.128,7.0,App,11,App,0,3,1,1,Medio,Lima,Cero Interés,0
26,16548.83,6,Secundaria,Casado,Preferente,17383.02,7013.18,0.403,38,425.1,0.931,9.0,Call,15,Call,0,2,0,0,Medio,Lima,Cero Interés,1
49,32521.9,17,Postgrado,Casado,Masivo,17066.7,1333.79,0.078,0,369.13,0.197,10.0,Web,102,Email,0,1,3,0,Bajo,Piura,Millas,0
73,23853.47,4,Universitario,Casado,Preferente,9022.24,1033.16,0.115,40,400.49,0.253,12.0,App,343,SMS,1,3,2,0,Bajo,Lima,Upgrade,0
60,8659.21,5,Secundaria,Casado,Masivo,23810.06,11059.59,0.464,37,344.61,0.424,3.0,App,19,App,1,1,0,0,Medio,Trujillo,Cashback,0
62,10393.45,2,Tecnico,Viudo,Preferente,14292.73,1084.23,0.076,63,253.04,0.138,4.0,Sucursal,25,SMS,0,4,0,0,Bajo,Lima,Upgrade,1
59,11887.02,12,Universitario,Soltero,Preferente,16876.06,12322.01,0.73,44,109.05,0.956,5.0,Call,106,Email,0,2,0,0,Medio,Cusco,Cashback,1
63,11761.45,18,Universitario,Casado,Preferente,17680.43,4782.72,0.271,41,192.89,0.655,8.0,Sucursal,32,App,0,3,0,1,Bajo,Piura,Cashback,1
48,17237.72,5,Postgrado,Soltero,Masivo,8385.7,4096.6,0.489,75,333.1,0.66,5.0,Web,27,App,0,1,0,0,Medio,Lima,Millas,1
